,rhizo_f0,NO3_0,NO2_0,succinate,pH,pseudo_strain,rhizo_strain,ID
A01,0,2,0,4,6,6-1-12-14,7-1-12-1,mono
A02,0,2,0,4,6,6-1-12-14,7-1-12-1,mono
A03,0,2,0,4,6,6-1-12-14,7-1-12-1,mono
A04,0,2,0,4,6,6-1-12-14,7-1-12-1,mono
A05,0,2,0,4,7.3,6-1-12-14,7-1-12-1,mono
A06,0,2,0,4,7.3,6-1-12-14,7-1-12-1,mono
A07,0,2,0,4,7.3,6-1-12-14,7-1-12-1,mono
A08,0,2,0,4,7.3,6-1-12-14,7-1-12-1,mono
A09,blank,2,0,4,6,6-1-12-14,7-1-12-1,blank
A10,blank,2,0,4,6,6-1-12-14,7-1-12-1,blank
A11,O2_control,2,0,4,6,6-1-12-14,7-1-12-1,O2_blank
A12,O2_control,2,0,4,6,6-1-12-14,7-1-12-1,O2_blank
B01,1,2,0,4,6,6-1-12-14,7-1-12-1,mono
B02,1,2,0,4,6,6-1-12-14,7-1-12-1,mono
B03,1,2,0,4,6,6-1-12-14,7-1-12-1,mono
B04,1,2,0,4,6,6-1-12-14,7-1-12-1,mono
B05,1,2,0,4,7.3,6-1-12-14,7-1-12-1,mono
B06,1,2,0,4,7.3,6-1-12-14,7-1-12-1,mono
B07,1,2,0,4,7.3,6-1-12-14,7-1-12-1,mono
B08,1,2,0,4,7.3,6-1-12-14,7-1-12-1,mono
B09,blank,2,0,4,6,6-1-12-14,7-1-12-1,blank
B10,blank,2,0,4,6,6-1-12-14,7-1-12-1,blank
B11,O2_control,2,0,4,6,6-1-12-14,7-1-12-1,O2_blank
B12,O2_control,2,0,4,6,6-1-12-14,7-1-12-1,O2_blank
