,NO3_0,NO2_0,succinate,pH,strain_ID,dilution_factor,OD0
A01,2,0,4,6,PDM21,100,0.01
A02,2,0,4,6,PDM21,100,0.01
A03,2,0,4,6,PDM10,100,0.01
A04,2,0,4,6,PDM10,100,0.01
A05,2,0,4,6,XNM01,100,0.01
A06,2,0,4,6,XNM01,100,0.01
A07,2,0,4,7.3,PDM21,100,0.01
A08,2,0,4,7.3,PDM21,100,0.01
A09,2,0,4,7.3,PDM10,100,0.01
A10,2,0,4,7.3,PDM10,100,0.01
A11,2,0,4,7.3,XNM01,100,0.01
A12,2,0,4,7.3,XNM01,100,0.01
B01,2,0,4,6,PDM04,100,0.01
B02,2,0,4,6,PDM04,100,0.01
B03,2,0,4,6,PXM04,100,0.01
B04,2,0,4,6,PXM04,100,0.01
B05,2,0,4,6,RHZ02,100,0.01
B06,2,0,4,6,RHZ02,100,0.01
B07,2,0,4,7.3,PDM04,100,0.01
B08,2,0,4,7.3,PDM04,100,0.01
B09,2,0,4,7.3,PXM04,100,0.01
B10,2,0,4,7.3,PXM04,100,0.01
B11,2,0,4,7.3,RHZ02,100,0.01
B12,2,0,4,7.3,RHZ02,100,0.01
C01,2,0,4,6,CMM02,100,0.01
C02,2,0,4,6,CMM02,100,0.01
C03,2,0,4,6,PDM21+XNM01,100,0.01
C04,2,0,4,6,PDM21+XNM01,100,0.01
C05,2,0,4,6,PDM21+PXM04,100,0.01
C06,2,0,4,6,PDM21+PXM04,100,0.01
C07,2,0,4,7.3,CMM02,100,0.01
C08,2,0,4,7.3,CMM02,100,0.01
C09,2,0,4,7.3,PDM21+XNM01,100,0.01
C10,2,0,4,7.3,PDM21+XNM01,100,0.01
C11,2,0,4,7.3,PDM21+PXM04,100,0.01
C12,2,0,4,7.3,PDM21+PXM04,100,0.01
D01,2,0,4,6,PDM21+RHZ02,100,0.01
D02,2,0,4,6,PDM21+RHZ02,100,0.01
D03,2,0,4,6,PDM21+CMM02,100,0.01
D04,2,0,4,6,PDM21+CMM02,100,0.01
D05,2,0,4,6,PDM10+XNM01,100,0.01
D06,2,0,4,6,PDM10+XNM01,100,0.01
D07,2,0,4,7.3,PDM21+RHZ02,100,0.01
D08,2,0,4,7.3,PDM21+RHZ02,100,0.01
D09,2,0,4,7.3,PDM21+CMM02,100,0.01
D10,2,0,4,7.3,PDM21+CMM02,100,0.01
D11,2,0,4,7.3,PDM10+XNM01,100,0.01
D12,2,0,4,7.3,PDM10+XNM01,100,0.01
E01,2,0,4,6,PDM10+PXM04,100,0.01
E02,2,0,4,6,PDM10+PXM04,100,0.01
E03,2,0,4,6,PDM10+RHZ02,100,0.01
E04,2,0,4,6,PDM10+RHZ02,100,0.01
E05,2,0,4,6,PDM10+CMM02,100,0.01
E06,2,0,4,6,PDM10+CMM02,100,0.01
E07,2,0,4,7.3,PDM10+PXM04,100,0.01
E08,2,0,4,7.3,PDM10+PXM04,100,0.01
E09,2,0,4,7.3,PDM10+RHZ02,100,0.01
E10,2,0,4,7.3,PDM10+RHZ02,100,0.01
E11,2,0,4,7.3,PDM10+CMM02,100,0.01
E12,2,0,4,7.3,PDM10+CMM02,100,0.01
F01,2,0,4,6,PDM04+XNM01,100,0.01
F02,2,0,4,6,PDM04+XNM01,100,0.01
F03,2,0,4,6,PDM04+PXM04,100,0.01
F04,2,0,4,6,PDM04+PXM04,100,0.01
F05,2,0,4,6,blank,100,0.01
F06,2,0,4,6,blank,100,0.01
F07,2,0,4,7.3,PDM04+XNM01,100,0.01
F08,2,0,4,7.3,PDM04+XNM01,100,0.01
F09,2,0,4,7.3,PDM04+PXM04,100,0.01
F10,2,0,4,7.3,PDM04+PXM04,100,0.01
F11,2,0,4,7.3,blank,100,0.01
F12,2,0,4,7.3,blank,100,0.01
G01,2,0,4,6,PDM04+RHZ02,100,0.01
G02,2,0,4,6,PDM04+RHZ02,100,0.01
G03,2,0,4,6,PDM04+CMM02,100,0.01
G04,2,0,4,6,PDM04+CMM02,100,0.01
G05,2,0,4,6,blank,100,0.01
G06,2,0,4,6,blank,100,0.01
G07,2,0,4,7.3,PDM04+RHZ02,100,0.01
G08,2,0,4,7.3,PDM04+RHZ02,100,0.01
G09,2,0,4,7.3,PDM04+CMM02,100,0.01
G10,2,0,4,7.3,PDM04+CMM02,100,0.01
G11,2,0,4,7.3,blank,100,0.01
G12,2,0,4,7.3,blank,100,0.01
H01,0,0,4,7.3,cells,100,0.01
H02,0,0,4,7.3,cells,100,0.01
H03,0,0,4,7.3,cells,100,0.01
H04,0,0,4,7.3,cells,100,0.01
H05,0,0,4,7.3,cells,100,0.01
H06,0,0,4,7.3,cells,100,0.01
H07,2,0,4,7.3,blank,100,0.01
H08,2,0,4,7.3,blank,100,0.01
H09,2,0,4,7.3,blank,100,0.01
H10,2,0,4,7.3,blank,100,0.01
H11,2,0,4,7.3,blank,100,0.01
H12,2,0,4,7.3,blank,100,0.01
